timestamp_s,exec_time_ms
8.3697,0.04
8.3799,0.04
8.39,0.04
8.4003,0.04
8.4107,0.04
8.4207,0.04
8.4309,0.04
8.4409,0.04
8.451,0.04
8.4613,0.04
8.4715,0.04
8.4817,0.04
8.4919,0.04
8.5021,0.04
8.5125,0.03
8.5224,0.04
8.5328,0.04
8.5429,0.04
8.5531,0.04
8.5634,0.28
8.5736,0.04
8.5837,0.04
8.5939,0.04
8.6045,0.03
8.6146,0.04
8.6248,0.04
8.6351,0.04
8.6454,0.04
8.6557,0.04
8.6659,0.04
8.6761,0.04
8.6865,0.03
8.6963,0.04
8.7069,0.04
8.7169,0.04
8.727,0.04
8.7374,0.04
8.7474,0.04
8.7577,0.04
8.7679,0.04
8.7781,0.04
8.7885,0.28
8.7986,0.04
8.8097,0.04
8.8195,0.29
8.8295,0.04
8.8398,0.04
8.8498,0.04
8.8603,0.04
8.8707,0.04
8.8807,0.04
8.8909,0.04
8.901,0.04
8.9115,0.03
8.9215,0.04
8.9317,0.04
8.9419,0.04
8.9519,0.04
8.9622,0.04
8.9724,0.04
8.9827,0.04
8.9928,0.04
9.0029,0.04
9.0131,0.04
9.0234,0.04
9.0336,0.04
9.0438,0.04
9.0541,0.04
9.0644,0.29
9.0745,0.04
9.0848,0.04
9.0949,0.04
9.105,0.04
9.115,0.04
9.1255,0.04
9.1357,0.04
9.1458,0.04
9.156,0.04
9.1669,0.26
9.1765,0.04
9.1867,0.04
9.1968,0.04
9.207,0.04
9.217,0.04
9.2274,0.04
9.2377,0.04
9.2477,0.04
9.258,0.04
9.2684,0.04
9.2783,0.04
9.2887,0.04
9.2987,0.04
9.3089,0.04
9.3194,0.29
9.3297,0.04
9.3399,0.04
9.3504,0.04
9.3607,0.04
9.371,0.04
9.381,0.04
9.3915,0.04
9.4017,0.04
9.4118,0.04
9.422,0.04
9.4324,0.29
9.4424,0.04
9.4528,0.04
9.463,0.04
9.4733,0.04
9.4834,0.04
9.4935,0.04
9.5038,0.04
9.5138,0.04
9.5244,0.03
9.5344,0.04
9.5448,0.04
9.5546,0.04
9.5649,0.04
9.5754,0.04
9.5857,0.04
9.5959,0.04
9.6068,0.04
9.6164,0.31
9.6266,0.04
9.6367,0.04
9.6469,0.04
9.657,0.04
9.6673,0.04
9.6775,0.04
9.6878,0.04
9.6978,0.04
9.7081,0.04
9.7182,0.04
9.7287,0.04
9.7388,0.04
9.7491,0.04
9.7594,0.04
9.7698,0.04
9.7804,0.03
9.7907,0.04
9.801,0.04
9.8114,0.04
9.8217,0.04
